Stand,Betupub,Piceabi,Sorbauc,Vaccmyr,Vaccvit,Athyfil,Cornsue,Dryoexp,Gymndry,Linnabor,Lycoann,Maiabif,Melapra,Solivir,Thelphe,Trieeur,Calapur,Carebru,Descfle,Luzupil,Molicer,Bracref,Bracsta,Dicrfus,Dicrmaj,Dicrmon,Dicrsco,Hyloumb,Hylospl,Plagden,Plaglae,Plagund,Pleusch,Pohlnut,Polycom,Polyfor,Polyjun,Rhodros,Rhytlor,Rhytsub,Tetrpel,Tetrmno,Sphagir,Sphaqui,Spharus,Barbatt,Barbbar,Barbflo,Barblyc,Bleptri,Calyazu,Calyint,Calymue,Calynee,Cephbic,Cephleu,Cephlun,Cephdiv,Chilpro,Dipltax,Lepirep,Lophobt,Lophsud,Lophven,Ptilcil,Ptilpul,Cetrisl,Cladchl,Cladcon,Cladcor,Claddef,Cladfur,Cladgra,Cladsul
3,0,0,2,16,11,0,0,9,0,0,4,0,0,0,0,0,0,0,7,0,0,1,0,14,1,0,16,0,0,0,11,0,14,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,2,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3,0,0,1,16,10,0,0,0,0,0,4,0,0,0,6,0,0,0,14,0,0,0,0,2,2,0,6,0,0,0,2,0,0,0,0,10,0,0,1,0,0,0,15,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0
3,0,0,4,12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,0,16,0,0,7,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,6,15,0,0,0,12,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,10,0,0,16,0,0,0,3,0,2,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,2,14,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,16,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,0,0,1,0,0,5,0,4,0,0,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,5,15,2,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,7,0,13,0,0,0,5,0,1,0,0,10,0,0,0,0,5,0,0,0,0,3,0,4,1,3,0,2,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
3,0,0,6,10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,15,0,0,0,8,0,0,0,0,16,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,3,10,0,16,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,0,0,0,13,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,0,5,11,0,0,0,2,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,11,0,0,13,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0,0,2,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,0,0,0,4,4,0,13,0,0,0,5,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3,0,1,3,11,2,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,1,4,0,0,5,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,12,0,0,8,0,10,0,0,1,0,6,0,2,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
3,0,0,3,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,15,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
